,REPORTING_YEAR,STATE_ABBR,TOTAL_ON_SITE_RELEASE,TOTAL_OFF_SITE_RELEASE,TOTAL_ON_OFF_SITE_RELEASE,AIR_TOTAL_RELEASE,WATER_TOTAL_RELEASE,LAND_TOTAL_RELEASE,OTH_LANDF_TOT_REL,SURF_IMP_TOT_REL,OTH_DISP_TOT_REL,OTHER_LAND_RELEASE,TOT_ALL_OTH_CATEGS,State,State_Abbr,Latitude,Longitude,tooltip_fld
38,2006,AL,93298241.48691279,27258068.36761231,120556309.85452521,52146499.31278546,8624849.439804198,32526892.7343233,10470159.623490002,14189500.6235954,673579.9006394999,673579.9006394999,30265286.6655481,Alabama,AL,32.806671,-86.79113,"Total On/Off Site: 120556310
͏
Total On: 93298241
͏
Total Off: 27258068
͏
Total Land: 32526893
͏
Total Water: 8624849
͏
Total Air: 52146499"
39,2007,AL,89910453.0970129,27959511.391671196,117869964.48868431,47198426.981033385,5982181.8383176,36729844.277661905,12066501.862945,15831155.4635954,711970.4509702002,711970.4509702002,30638571.292481616,Alabama,AL,32.806671,-86.79113,"Total On/Off Site: 117869964
͏
Total On: 89910453
͏
Total Off: 27959511
͏
Total Land: 36729844
͏
Total Water: 5982182
͏
Total Air: 47198427"
40,2008,AL,87398589.10394399,28433996.305035915,115832585.40897979,40486152.48148314,9128321.744833197,37784114.877627805,11271809.7599921,17777455.062590398,404192.4309218,404192.4309218,31635880.457826015,Alabama,AL,32.806671,-86.79113,"Total On/Off Site: 115832585
͏
Total On: 87398589
͏
Total Off: 28433996
͏
Total Land: 37784115
͏
Total Water: 9128322
͏
Total Air: 40486152"
41,2009,AL,78543752.90068728,14864775.2588345,93408528.1595217,35592204.049293615,9091001.346655903,33860547.5047376,8073010.657902399,14113823.002018102,618399.3605291999,618399.3605291999,17321871.188823115,Alabama,AL,32.806671,-86.79113,"Total On/Off Site: 93408528
͏
Total On: 78543753
͏
Total Off: 14864775
͏
Total Land: 33860548
͏
Total Water: 9091001
͏
Total Air: 35592204"
42,2010,AL,76246226.68857914,18402191.2047778,94648417.89335684,33575117.4976574,10204034.9804512,32467074.2104703,11751128.6764575,15472826.682068897,670929.4405930999,670929.4405930999,20801951.718911797,Alabama,AL,32.806671,-86.79113,"Total On/Off Site: 94648418
͏
Total On: 76246227
͏
Total Off: 18402191
͏
Total Land: 32467074
͏
Total Water: 10204035
͏
Total Air: 33575117"
43,2011,AL,71292976.17739628,13605523.377505695,84898499.55490199,32758197.876130916,10071672.667101303,28463105.63416419,11381795.409249999,13623459.5907365,859271.1635060001,859271.1635060001,16132381.964924995,Alabama,AL,32.806671,-86.79113,"Total On/Off Site: 84898500
͏
Total On: 71292976
͏
Total Off: 13605523
͏
Total Land: 28463106
͏
Total Water: 10071673
͏
Total Air: 32758198"
44,2012,AL,70078158.33677603,12934908.015183395,83013066.35195938,33403203.85289865,12772576.7898945,23902377.693982594,7731613.1600884,11978466.0325146,432864.2004789,432864.2004789,15791218.02020529,Alabama,AL,32.806671,-86.79113,"Total On/Off Site: 83013066
͏
Total On: 70078158
͏
Total Off: 12934908
͏
Total Land: 23902378
͏
Total Water: 12772577
͏
Total Air: 33403204"
45,2013,AL,75298166.68098395,13442193.765927792,88740360.44691174,32809594.301020578,13222412.139961392,29266160.240001697,7212219.975168498,10911986.1506518,241567.7304051,241567.7304051,18678697.44544139,Alabama,AL,32.806671,-86.79113,"Total On/Off Site: 88740360
͏
Total On: 75298167
͏
Total Off: 13442194
͏
Total Land: 29266160
͏
Total Water: 13222412
͏
Total Air: 32809594"
46,2014,AL,74867738.7923249,17199903.183521494,92067641.97584626,34885782.18197687,14270061.726566598,25711894.883781303,6369700.416650101,10784771.570572197,332795.92499999993,332795.92499999993,20292188.799443103,Alabama,AL,32.806671,-86.79113,"Total On/Off Site: 92067642
͏
Total On: 74867739
͏
Total Off: 17199903
͏
Total Land: 25711895
͏
Total Water: 14270062
͏
Total Air: 34885782"
47,2015,AL,75716371.94302264,14707627.080082003,90423999.02310464,35818986.64113526,10072291.943504909,29825093.35838239,7235588.9767989,7854155.3439736,280484.48920169997,280484.48920169997,17362139.434405915,Alabama,AL,32.806671,-86.79113,"Total On/Off Site: 90423999
͏
Total On: 75716372
͏
Total Off: 14707627
͏
Total Land: 29825093
͏
Total Water: 10072292
͏
Total Air: 35818987"
48,2016,AL,67033269.900029436,18143164.41929749,85176434.31932698,29879404.19927003,11435651.773042096,25718213.92771749,7799158.268316101,4363481.906411098,308906.964,308906.964,20575700.194979284,Alabama,AL,32.806671,-86.79113,"Total On/Off Site: 85176434
͏
Total On: 67033270
͏
Total Off: 18143164
͏
Total Land: 25718214
͏
Total Water: 11435652
͏
Total Air: 29879404"
49,2017,AL,60752520.0578633,19786341.522945706,80538861.58080876,26891060.8577119,9994829.431409894,23866629.768741697,6993893.596410501,3509669.1734503005,252045.55249999993,252045.55249999993,22470347.976781618,Alabama,AL,32.806671,-86.79113,"Total On/Off Site: 80538862
͏
Total On: 60752520
͏
Total Off: 19786342
͏
Total Land: 23866630
͏
Total Water: 9994829
͏
Total Air: 26891061"
50,2018,AL,64027156.49752767,18077611.4238902,82104767.92141788,28768707.629632328,10986705.997202208,24271742.870693184,6490793.739497401,3345485.8889812,287764.9165,287764.9165,20444325.87075138,Alabama,AL,32.806671,-86.79113,"Total On/Off Site: 82104768
͏
Total On: 64027156
͏
Total Off: 18077611
͏
Total Land: 24271743
͏
Total Water: 10986706
͏
Total Air: 28768708"
