,REPORTING_YEAR,STATE_ABBR,TOTAL_ON_OFF_SITE_RELEASE,WATER_TOTAL_RELEASE,LAND_TOTAL_RELEASE
219,2018,MT,51455403.960612886,74787.06216999998,48568141.93749959
220,2018,NE,18820806.8098047,3760357.8534368,5093840.496000001
221,2018,NM,16886569.177731197,132228.039,14624894.333011694
222,2018,UT,292057299.994854,123320.9660157,281214178.0252756
223,2018,WY,21423477.742321692,5537.395,17729907.7375
224,2019,AZ,85880236.51282226,1088.328,82397905.1573
225,2019,CO,28294818.92886419,1003121.1658577999,20230931.568
226,2019,MT,61770454.569680795,98541.27739999999,59248562.26103879
227,2019,NE,17847627.23400779,5514511.429102301,3519233.75
228,2019,NM,16627471.2012351,141697.34489999997,14163419.1580106
229,2019,UT,199053126.6612205,143369.64021789999,184991723.53315017
230,2019,WY,18504798.299627993,8441.384999999998,15348503.707999999
